moleculer_finger,predicted_bioactivity,true_bioactivity
-1010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
000000-1000000000-100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00-10-100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00-100000010000-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010010000000000
010-1001010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1-10-1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1000000-10000-1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0001000000000000000000000100000000000010001000000001000000010000000000000001001001010100010001000000100000000000110000101000010000000000100001000000100000000000110000000000100100100100000000000100100100010001000010000000000001000000000000000000011001100010000000000001000001001000000000000000000100000000000000000000100001000000000000011000010000000001000011000000000000000100001000001000010000000000000000000000000001000010110000010000000000000010000000010001000001001100000100000010010100001000
-1100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000100010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000
-200-1-101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
-10-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000000000000000000000000000000000000000000
-1-110-110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000100000000000000000000000000000000000000000000000000000000010010000000000000000100000000001000000000000000000000000000000000000001000000000000000000000000001000000000000000000000000000010000000000000000000000000000000000000000000000000000010000100000100000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000110000001000000000000000000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000010000000000000000000
-10010-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00020-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000011000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10210-10000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00100-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00-10200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
-1-1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
